date,well_id,basin,field,decline_type,oil_rate_bbl_day,water_cut_pct,wellhead_pressure_psi,cumulative_oil_bbl,anomaly_flag,year,month,quarter,production_month,oil_rate_bbl_month,wc_category,rolling_baseline_bbl_day,residual,zscore_flag,iqr_flag,anomaly_detected,anomaly_type,deviation_pct
2023-04-01,W-04,Assam,Geleki,exponential,597.52,25.9,1331.6,87479.0,0,2023,4,2,3,17926.0,Medium (25-50%),766.07,-168.55000000000007,False,False,False,Normal,-22.0
2023-05-01,W-04,Assam,Geleki,exponential,499.94,22.11,1271.0,102477.0,0,2023,5,2,4,14998.0,Low (<25%),645.99,-146.05,False,False,False,Normal,-22.6
2023-06-01,W-04,Assam,Geleki,exponential,457.08,26.73,1206.4,116189.0,0,2023,6,2,5,13712.0,Medium (25-50%),597.52,-140.44,False,False,False,Normal,-23.5
2023-07-01,W-04,Assam,Geleki,exponential,390.97,31.96,1161.1,127918.0,0,2023,7,3,6,11729.0,Medium (25-50%),499.94,-108.96999999999997,False,False,False,Normal,-21.8
2023-08-01,W-04,Assam,Geleki,exponential,336.13,29.08,1100.8,138002.0,0,2023,8,3,7,10084.0,Medium (25-50%),457.08,-120.94999999999999,False,False,False,Normal,-26.5
2023-09-01,W-04,Assam,Geleki,exponential,302.1,34.94,1071.8,147065.0,0,2023,9,3,8,9063.0,Medium (25-50%),390.97,-88.87,False,False,False,Normal,-22.7
2023-10-01,W-04,Assam,Geleki,exponential,287.92,36.65,1025.7,155703.0,0,2023,10,4,9,8638.0,Medium (25-50%),336.13,-48.20999999999998,False,False,False,Normal,-14.3
2023-11-01,W-04,Assam,Geleki,exponential,265.98,35.84,994.5,163682.0,0,2023,11,4,10,7979.0,Medium (25-50%),302.1,-36.120000000000005,False,False,False,Normal,-12.0
2023-12-01,W-04,Assam,Geleki,exponential,236.98,39.15,938.4,170791.0,0,2023,12,4,11,7109.0,Medium (25-50%),287.92,-50.940000000000026,False,False,False,Normal,-17.7
2024-01-01,W-04,Assam,Geleki,exponential,215.41,36.91,921.4,177254.0,0,2024,1,1,12,6462.0,Medium (25-50%),265.98,-50.57000000000002,False,False,False,Normal,-19.0
2024-02-01,W-04,Assam,Geleki,exponential,186.02,46.56,900.7,182834.0,0,2024,2,1,13,5581.0,Medium (25-50%),236.98,-50.95999999999998,False,False,False,Normal,-21.5
2024-03-01,W-04,Assam,Geleki,exponential,159.84,44.32,841.7,187630.0,0,2024,3,1,14,4795.0,Medium (25-50%),215.41,-55.56999999999999,False,False,False,Normal,-25.8
2024-04-01,W-04,Assam,Geleki,exponential,139.1,48.47,816.3,191803.0,0,2024,4,2,15,4173.0,Medium (25-50%),186.02,-46.920000000000016,False,False,False,Normal,-25.2
2024-05-01,W-04,Assam,Geleki,exponential,119.37,50.02,788.8,195384.0,0,2024,5,2,16,3581.0,High (50-75%),159.84,-40.47,False,False,False,Normal,-25.3
2024-06-01,W-04,Assam,Geleki,exponential,98.12,53.43,742.0,198327.0,0,2024,6,2,17,2944.0,High (50-75%),139.1,-40.97999999999999,False,False,False,Normal,-29.5
2024-07-01,W-04,Assam,Geleki,exponential,95.34,51.77,722.0,201187.0,0,2024,7,3,18,2860.0,High (50-75%),119.37,-24.03,False,False,False,Normal,-20.1
2024-08-01,W-04,Assam,Geleki,exponential,79.79,54.97,690.7,203581.0,0,2024,8,3,19,2394.0,High (50-75%),98.12,-18.33,False,False,False,Normal,-18.7
2024-09-01,W-04,Assam,Geleki,exponential,69.14,57.6,664.9,205655.0,0,2024,9,3,20,2074.0,High (50-75%),95.34,-26.200000000000003,False,False,False,Normal,-27.5
2024-10-01,W-04,Assam,Geleki,exponential,72.28,60.16,625.8,207824.0,0,2024,10,4,21,2168.0,High (50-75%),79.79,-7.510000000000005,False,False,False,Normal,-9.4
2024-11-01,W-04,Assam,Geleki,exponential,62.67,62.64,612.8,209704.0,0,2024,11,4,22,1880.0,High (50-75%),72.28,-9.61,False,False,False,Normal,-13.3
2024-12-01,W-04,Assam,Geleki,exponential,57.27,61.3,595.8,211422.0,0,2024,12,4,23,1718.0,High (50-75%),69.14,-11.869999999999997,False,False,False,Normal,-17.2
2023-01-01,W-05,Gujarat,Ankleshwar,hyperbolic,736.91,23.34,1271.8,22107.0,0,2023,1,1,0,22107.0,Low (<25%),736.91,0.0,False,False,False,Normal,0.0
2023-02-01,W-05,Gujarat,Ankleshwar,hyperbolic,710.51,26.09,1245.6,43423.0,0,2023,2,1,1,21315.0,Medium (25-50%),736.91,-26.399999999999977,False,False,False,Normal,-3.6
2023-03-01,W-05,Gujarat,Ankleshwar,hyperbolic,609.79,28.87,1203.4,61716.0,0,2023,3,1,2,18294.0,Medium (25-50%),723.71,-113.92000000000007,False,False,False,Normal,-15.7
2023-04-01,W-05,Gujarat,Ankleshwar,hyperbolic,593.64,34.18,1150.1,79525.0,0,2023,4,2,3,17809.0,Medium (25-50%),710.51,-116.87,False,False,False,Normal,-16.4
2023-05-01,W-05,Gujarat,Ankleshwar,hyperbolic,519.4,32.01,1074.5,95107.0,0,2023,5,2,4,15582.0,Medium (25-50%),609.79,-90.38999999999999,False,False,False,Normal,-14.8
2023-06-01,W-05,Gujarat,Ankleshwar,hyperbolic,425.14,36.58,1060.8,107862.0,0,2023,6,2,5,12754.0,Medium (25-50%),593.64,-168.5,True,False,True,Normal,-28.4
2023-07-01,W-05,Gujarat,Ankleshwar,hyperbolic,395.11,35.51,1001.0,119715.0,0,2023,7,3,6,11853.0,Medium (25-50%),519.4,-124.28999999999996,False,False,False,Normal,-23.9
2023-08-01,W-05,Gujarat,Ankleshwar,hyperbolic,417.66,39.17,990.5,132245.0,0,2023,8,3,7,12530.0,Medium (25-50%),425.14,-7.479999999999961,False,False,False,Normal,-1.8
2023-09-01,W-05,Gujarat,Ankleshwar,hyperbolic,396.87,40.61,947.6,144151.0,0,2023,9,3,8,11906.0,Medium (25-50%),417.66,-20.79000000000002,False,False,False,Normal,-5.0
2023-10-01,W-05,Gujarat,Ankleshwar,hyperbolic,411.4,40.61,891.0,156493.0,0,2023,10,4,9,12342.0,Medium (25-50%),396.87,14.529999999999973,False,False,False,Normal,3.7
2023-11-01,W-05,Gujarat,Ankleshwar,hyperbolic,393.17,39.9,861.9,168288.0,0,2023,11,4,10,11795.0,Medium (25-50%),411.4,-18.22999999999996,False,False,False,Normal,-4.4
2023-12-01,W-05,Gujarat,Ankleshwar,hyperbolic,368.17,43.1,819.6,179333.0,0,2023,12,4,11,11045.0,Medium (25-50%),396.87,-28.69999999999999,False,False,False,Normal,-7.2
2024-01-01,W-05,Gujarat,Ankleshwar,hyperbolic,359.71,48.31,801.8,190124.0,0,2024,1,1,12,10791.0,Medium (25-50%),393.17,-33.460000000000036,False,False,False,Normal,-8.5
2024-02-01,W-05,Gujarat,Ankleshwar,hyperbolic,300.28,48.78,785.6,199133.0,0,2024,2,1,13,9008.0,Medium (25-50%),368.17,-67.89000000000004,False,False,False,Normal,-18.4
2024-03-01,W-05,Gujarat,Ankleshwar,hyperbolic,313.26,47.86,726.3,208530.0,0,2024,3,1,14,9398.0,Medium (25-50%),359.71,-46.44999999999999,False,False,False,Normal,-12.9
2024-04-01,W-05,Gujarat,Ankleshwar,hyperbolic,290.21,49.73,719.6,217237.0,0,2024,4,2,15,8706.0,Medium (25-50%),313.26,-23.05000000000001,False,False,False,Normal,-7.4
2024-05-01,W-05,Gujarat,Ankleshwar,hyperbolic,272.06,48.65,676.1,225399.0,0,2024,5,2,16,8162.0,Medium (25-50%),300.28,-28.21999999999997,False,False,False,Normal,-9.4
2024-06-01,W-05,Gujarat,Ankleshwar,hyperbolic,246.81,56.7,645.4,232803.0,0,2024,6,2,17,7404.0,High (50-75%),290.21,-43.39999999999998,False,False,False,Normal,-15.0
2024-07-01,W-05,Gujarat,Ankleshwar,hyperbolic,251.34,57.27,629.9,240343.0,0,2024,7,3,18,7540.0,High (50-75%),272.06,-20.72,False,False,False,Normal,-7.6
2024-08-01,W-05,Gujarat,Ankleshwar,hyperbolic,231.21,56.92,591.2,247280.0,0,2024,8,3,19,6936.0,High (50-75%),251.34,-20.129999999999995,False,False,False,Normal,-8.0
2024-09-01,W-05,Gujarat,Ankleshwar,hyperbolic,214.75,59.29,574.6,253722.0,0,2024,9,3,20,6442.0,High (50-75%),246.81,-32.06,False,False,False,Normal,-13.0
2024-10-01,W-05,Gujarat,Ankleshwar,hyperbolic,203.0,56.24,542.1,259812.0,0,2024,10,4,21,6090.0,High (50-75%),231.21,-28.210000000000008,False,False,False,Normal,-12.2
2024-11-01,W-05,Gujarat,Ankleshwar,hyperbolic,216.44,61.31,567.6,266305.0,0,2024,11,4,22,6493.0,High (50-75%),214.75,1.6899999999999977,False,False,False,Normal,0.8
2024-12-01,W-05,Gujarat,Ankleshwar,hyperbolic,221.61,66.64,517.5,272954.0,0,2024,12,4,23,6648.0,High (50-75%),214.75,6.860000000000014,False,False,False,Normal,3.2
2023-01-01,W-06,Gujarat,Ankleshwar,exponential,410.34,25.06,999.9,12310.0,0,2023,1,1,0,12310.0,Medium (25-50%),410.34,0.0,False,False,False,Normal,0.0
2023-02-01,W-06,Gujarat,Ankleshwar,exponential,357.44,26.74,944.6,23034.0,0,2023,2,1,1,10723.0,Medium (25-50%),410.34,-52.89999999999998,False,False,False,Normal,-12.9
2023-03-01,W-06,Gujarat,Ankleshwar,exponential,330.66,27.25,909.2,32953.0,0,2023,3,1,2,9920.0,Medium (25-50%),383.89,-53.22999999999996,False,False,False,Normal,-13.9
2023-04-01,W-06,Gujarat,Ankleshwar,exponential,277.6,28.98,897.7,41281.0,0,2023,4,2,3,8328.0,Medium (25-50%),357.44,-79.83999999999997,False,False,False,Normal,-22.3
2023-05-01,W-06,Gujarat,Ankleshwar,exponential,240.92,30.02,865.7,48509.0,0,2023,5,2,4,7228.0,Medium (25-50%),330.66,-89.74000000000004,False,False,False,Normal,-27.1
2023-06-01,W-06,Gujarat,Ankleshwar,exponential,195.75,31.17,814.4,54381.0,0,2023,6,2,5,5872.0,Medium (25-50%),277.6,-81.85000000000002,False,False,False,Normal,-29.5
2023-07-01,W-06,Gujarat,Ankleshwar,exponential,181.82,33.15,805.1,59836.0,0,2023,7,3,6,5455.0,Medium (25-50%),240.92,-59.099999999999994,False,False,False,Normal,-24.5
2023-08-01,W-06,Gujarat,Ankleshwar,exponential,152.98,34.57,739.4,64425.0,0,2023,8,3,7,4589.0,Medium (25-50%),195.75,-42.77000000000001,False,False,False,Normal,-21.8
2023-09-01,W-06,Gujarat,Ankleshwar,exponential,149.84,35.22,733.4,68920.0,0,2023,9,3,8,4495.0,Medium (25-50%),181.82,-31.97999999999999,False,False,False,Normal,-17.6
2023-10-01,W-06,Gujarat,Ankleshwar,exponential,142.62,37.27,687.4,73199.0,0,2023,10,4,9,4279.0,Medium (25-50%),152.98,-10.359999999999985,False,False,False,Normal,-6.8
2023-11-01,W-06,Gujarat,Ankleshwar,exponential,131.32,34.84,668.1,77139.0,0,2023,11,4,10,3940.0,Medium (25-50%),149.84,-18.52000000000001,False,False,False,Normal,-12.4
2023-12-01,W-06,Gujarat,Ankleshwar,exponential,122.24,42.7,652.0,80806.0,0,2023,12,4,11,3667.0,Medium (25-50%),142.62,-20.38000000000001,False,False,False,Normal,-14.3
2024-01-01,W-06,Gujarat,Ankleshwar,exponential,106.15,43.6,612.9,83990.0,0,2024,1,1,12,3184.0,Medium (25-50%),131.32,-25.169999999999987,False,False,False,Normal,-19.2
2024-02-01,W-06,Gujarat,Ankleshwar,exponential,89.27,44.13,595.5,86668.0,0,2024,2,1,13,2678.0,Medium (25-50%),122.24,-32.97,False,False,False,Normal,-27.0
2024-03-01,W-06,Gujarat,Ankleshwar,exponential,77.65,46.26,592.8,88998.0,0,2024,3,1,14,2330.0,Medium (25-50%),106.15,-28.5,False,False,False,Normal,-26.8
2024-04-01,W-06,Gujarat,Ankleshwar,exponential,72.16,47.82,546.4,91163.0,0,2024,4,2,15,2165.0,Medium (25-50%),89.27,-17.11,False,False,False,Normal,-19.2
2024-05-01,W-06,Gujarat,Ankleshwar,exponential,66.15,47.31,545.8,93147.0,0,2024,5,2,16,1985.0,Medium (25-50%),77.65,-11.5,False,False,False,Normal,-14.8
2024-06-01,W-06,Gujarat,Ankleshwar,exponential,58.13,49.18,495.4,94891.0,0,2024,6,2,17,1744.0,Medium (25-50%),72.16,-14.029999999999994,False,False,False,Normal,-19.4
2024-07-01,W-06,Gujarat,Ankleshwar,exponential,48.59,52.78,500.2,96349.0,0,2024,7,3,18,1458.0,High (50-75%),66.15,-17.560000000000002,False,False,False,Normal,-26.5
2024-08-01,W-06,Gujarat,Ankleshwar,exponential,44.48,53.63,494.6,97684.0,0,2024,8,3,19,1334.0,High (50-75%),58.13,-13.650000000000006,False,False,False,Normal,-23.5
2024-09-01,W-06,Gujarat,Ankleshwar,exponential,39.22,58.78,417.3,98860.0,0,2024,9,3,20,1177.0,High (50-75%),48.59,-9.370000000000005,False,False,False,Normal,-19.3
2024-10-01,W-06,Gujarat,Ankleshwar,exponential,40.3,59.42,424.6,100069.0,0,2024,10,4,21,1209.0,High (50-75%),44.48,-4.18,False,False,False,Normal,-9.4
