date,well_id,basin,field,decline_type,oil_rate_bbl_day,water_cut_pct,wellhead_pressure_psi,cumulative_oil_bbl,anomaly_flag
2023-11-01,W-04,Assam,Geleki,exponential,265.98,35.84,994.5,163682.0,0
2023-12-01,W-04,Assam,Geleki,exponential,236.98,39.15,938.4,170791.0,0
2024-01-01,W-04,Assam,Geleki,exponential,215.41,36.91,921.4,177254.0,0
2024-02-01,W-04,Assam,Geleki,exponential,186.02,46.56,900.7,182834.0,0
2024-03-01,W-04,Assam,Geleki,exponential,159.84,44.32,841.7,187630.0,0
2024-04-01,W-04,Assam,Geleki,exponential,139.1,48.47,816.3,191803.0,0
2024-05-01,W-04,Assam,Geleki,exponential,119.37,50.02,788.8,195384.0,0
2024-06-01,W-04,Assam,Geleki,exponential,98.12,53.43,742.0,198327.0,0
2024-07-01,W-04,Assam,Geleki,exponential,95.34,51.77,722.0,201187.0,0
2024-08-01,W-04,Assam,Geleki,exponential,79.79,54.97,690.7,203581.0,0
2024-09-01,W-04,Assam,Geleki,exponential,69.14,57.6,664.9,205655.0,0
2024-10-01,W-04,Assam,Geleki,exponential,72.28,60.16,625.8,207824.0,0
2024-11-01,W-04,Assam,Geleki,exponential,62.67,62.64,612.8,209704.0,0
2024-12-01,W-04,Assam,Geleki,exponential,57.27,61.3,595.8,211422.0,0
2023-01-01,W-05,Gujarat,Ankleshwar,hyperbolic,736.91,23.34,1271.8,22107.0,0
2023-02-01,W-05,Gujarat,Ankleshwar,hyperbolic,710.51,26.09,1245.6,43423.0,0
2023-03-01,W-05,Gujarat,Ankleshwar,hyperbolic,609.79,28.87,1203.4,61716.0,0
2023-04-01,W-05,Gujarat,Ankleshwar,hyperbolic,593.64,34.18,1150.1,79525.0,0
2023-05-01,W-05,Gujarat,Ankleshwar,hyperbolic,519.4,32.01,1074.5,95107.0,0
2023-06-01,W-05,Gujarat,Ankleshwar,hyperbolic,425.14,36.58,1060.8,107862.0,0
2023-07-01,W-05,Gujarat,Ankleshwar,hyperbolic,395.11,35.51,1001.0,119715.0,0
2023-08-01,W-05,Gujarat,Ankleshwar,hyperbolic,417.66,39.17,990.5,132245.0,0
2023-09-01,W-05,Gujarat,Ankleshwar,hyperbolic,396.87,40.61,947.6,144151.0,0
2023-10-01,W-05,Gujarat,Ankleshwar,hyperbolic,411.4,,891.0,156493.0,0
2023-11-01,W-05,Gujarat,Ankleshwar,hyperbolic,393.17,39.9,861.9,168288.0,0
2023-12-01,W-05,Gujarat,Ankleshwar,hyperbolic,368.17,43.1,819.6,179333.0,0
2024-01-01,W-05,Gujarat,Ankleshwar,hyperbolic,359.71,48.31,801.8,190124.0,0
2024-02-01,W-05,Gujarat,Ankleshwar,hyperbolic,300.28,48.78,785.6,199133.0,0
2024-03-01,W-05,Gujarat,Ankleshwar,hyperbolic,313.26,47.86,726.3,208530.0,0
2024-04-01,W-05,Gujarat,Ankleshwar,hyperbolic,290.21,49.73,719.6,217237.0,0
2024-05-01,W-05,Gujarat,Ankleshwar,hyperbolic,272.06,48.65,676.1,225399.0,0
2024-06-01,W-05,Gujarat,Ankleshwar,hyperbolic,246.81,56.7,645.4,232803.0,0
2024-07-01,W-05,Gujarat,Ankleshwar,hyperbolic,251.34,57.27,629.9,240343.0,0
2024-08-01,W-05,Gujarat,Ankleshwar,hyperbolic,231.21,56.92,591.2,247280.0,0
2024-09-01,W-05,Gujarat,Ankleshwar,hyperbolic,214.75,59.29,574.6,253722.0,0
2024-10-01,W-05,Gujarat,Ankleshwar,hyperbolic,203.0,56.24,542.1,259812.0,0
2024-11-01,W-05,Gujarat,Ankleshwar,hyperbolic,216.44,61.31,567.6,266305.0,0
2024-12-01,W-05,Gujarat,Ankleshwar,hyperbolic,221.61,66.64,517.5,272954.0,0
2023-01-01,W-06,Gujarat,Ankleshwar,exponential,410.34,25.06,999.9,12310.0,0
2023-02-01,W-06,Gujarat,Ankleshwar,exponential,357.44,26.74,944.6,23034.0,0
2023-03-01,W-06,Gujarat,Ankleshwar,exponential,330.66,27.25,909.2,32953.0,0
2023-04-01,W-06,Gujarat,Ankleshwar,exponential,277.6,28.98,897.7,41281.0,0
2023-05-01,W-06,Gujarat,Ankleshwar,exponential,240.92,30.02,865.7,48509.0,0
2023-06-01,W-06,Gujarat,Ankleshwar,exponential,195.75,31.17,814.4,54381.0,0
2023-07-01,W-06,Gujarat,Ankleshwar,exponential,181.82,33.15,805.1,59836.0,0
2023-08-01,W-06,Gujarat,Ankleshwar,exponential,152.98,34.57,739.4,64425.0,0
2023-09-01,W-06,Gujarat,Ankleshwar,exponential,149.84,35.22,733.4,68920.0,0
2023-10-01,W-06,Gujarat,Ankleshwar,exponential,142.62,37.27,687.4,73199.0,0
2023-11-01,W-06,Gujarat,Ankleshwar,exponential,131.32,34.84,668.1,77139.0,0
2023-12-01,W-06,Gujarat,Ankleshwar,exponential,122.24,42.7,652.0,80806.0,0
2024-01-01,W-06,Gujarat,Ankleshwar,exponential,106.15,43.6,612.9,83990.0,0
2024-02-01,W-06,Gujarat,Ankleshwar,exponential,89.27,44.13,595.5,86668.0,0
2024-03-01,W-06,Gujarat,Ankleshwar,exponential,77.65,46.26,592.8,88998.0,0
2024-04-01,W-06,Gujarat,Ankleshwar,exponential,72.16,47.82,546.4,91163.0,0
2024-05-01,W-06,Gujarat,Ankleshwar,exponential,66.15,47.31,545.8,93147.0,0
2024-06-01,W-06,Gujarat,Ankleshwar,exponential,58.13,49.18,495.4,94891.0,0
2024-07-01,W-06,Gujarat,Ankleshwar,exponential,48.59,52.78,500.2,96349.0,0
2024-08-01,W-06,Gujarat,Ankleshwar,exponential,44.48,53.63,494.6,97684.0,0
2024-09-01,W-06,Gujarat,Ankleshwar,exponential,39.22,58.78,417.3,98860.0,0
2024-10-01,W-06,Gujarat,Ankleshwar,exponential,40.3,59.42,424.6,100069.0,0
2024-11-01,W-06,Gujarat,Ankleshwar,exponential,38.05,59.53,428.1,101211.0,0
2024-12-01,W-06,Gujarat,Ankleshwar,exponential,31.08,57.63,400.0,102143.0,0
2023-01-01,W-07,Gujarat,Gandhar,hyperbolic,599.21,27.57,1085.2,17976.0,0
2023-02-01,W-07,Gujarat,Gandhar,hyperbolic,504.44,25.58,1035.8,33110.0,0
2023-03-01,W-07,Gujarat,Gandhar,hyperbolic,466.9,27.09,999.6,47117.0,0
2023-04-01,W-07,Gujarat,Gandhar,hyperbolic,468.11,28.32,929.8,61160.0,0
2023-05-01,W-07,Gujarat,Gandhar,hyperbolic,379.79,32.82,,72554.0,0
2023-06-01,W-07,Gujarat,Gandhar,hyperbolic,74.59,34.32,863.5,74791.0,1
2023-07-01,W-07,Gujarat,Gandhar,hyperbolic,312.88,36.61,832.3,84178.0,0
2023-08-01,W-07,Gujarat,Gandhar,hyperbolic,302.77,37.33,815.3,93261.0,0
2023-09-01,W-07,Gujarat,Gandhar,hyperbolic,262.83,33.52,742.2,101145.0,0
2023-10-01,W-07,Gujarat,Gandhar,hyperbolic,286.63,38.82,760.4,109744.0,0
2023-11-01,W-07,Gujarat,Gandhar,hyperbolic,257.63,37.62,706.2,117473.0,0
2023-12-01,W-07,Gujarat,Gandhar,hyperbolic,224.26,40.18,674.4,124201.0,0
2024-01-01,W-07,Gujarat,Gandhar,hyperbolic,219.01,43.03,638.9,130771.0,0
2024-02-01,W-07,Gujarat,Gandhar,hyperbolic,210.49,45.83,603.6,137086.0,0
2024-03-01,W-07,Gujarat,Gandhar,hyperbolic,197.85,43.85,616.1,143021.0,0
2024-04-01,W-07,Gujarat,Gandhar,hyperbolic,182.31,42.46,581.2,148490.0,0
2024-05-01,W-07,Gujarat,Gandhar,hyperbolic,166.42,48.94,538.0,153483.0,0
2024-06-01,W-07,Gujarat,Gandhar,hyperbolic,148.3,55.34,516.1,157932.0,0
2024-07-01,W-07,Gujarat,Gandhar,hyperbolic,137.4,51.12,509.5,162054.0,0
2024-08-01,W-07,Gujarat,Gandhar,hyperbolic,136.88,53.09,,166160.0,0
2024-09-01,W-07,Gujarat,Gandhar,hyperbolic,122.7,58.04,471.1,169841.0,0
2024-10-01,W-07,Gujarat,Gandhar,hyperbolic,125.91,57.13,433.8,173619.0,0
2024-11-01,W-07,Gujarat,Gandhar,hyperbolic,130.24,57.85,434.7,177526.0,0
2024-12-01,W-07,Gujarat,Gandhar,hyperbolic,121.0,59.78,417.1,181156.0,0
2023-01-01,W-08,Gujarat,Gandhar,exponential,465.31,24.3,1265.0,13959.0,0
2023-02-01,W-08,Gujarat,Gandhar,exponential,368.39,26.26,1219.8,25011.0,0
2023-03-01,W-08,Gujarat,Gandhar,exponential,313.34,30.07,1177.4,34411.0,0
2023-04-01,W-08,Gujarat,Gandhar,exponential,296.19,28.29,1101.1,43296.0,0
2023-05-01,W-08,Gujarat,Gandhar,exponential,232.59,32.36,1062.4,50274.0,0
2023-06-01,W-08,Gujarat,Gandhar,exponential,201.41,34.12,1051.3,56316.0,0
2023-07-01,W-08,Gujarat,Gandhar,exponential,165.78,38.63,1001.9,61290.0,0
2023-08-01,W-08,Gujarat,Gandhar,exponential,151.86,35.04,957.4,65846.0,0
2023-09-01,W-08,Gujarat,Gandhar,exponential,125.99,37.46,922.8,69625.0,0
2023-10-01,W-08,Gujarat,Gandhar,exponential,120.46,38.63,891.6,73239.0,0
2023-11-01,W-08,Gujarat,Gandhar,exponential,120.27,38.88,843.5,76847.0,0
2023-12-01,W-08,Gujarat,Gandhar,exponential,91.11,47.47,806.5,79581.0,0
2024-01-01,W-08,Gujarat,Gandhar,exponential,89.48,43.18,789.1,82265.0,0
2024-02-01,W-08,Gujarat,Gandhar,exponential,62.01,45.76,740.6,84125.0,0
2024-03-01,W-08,Gujarat,Gandhar,exponential,57.36,51.74,731.8,85846.0,0
2024-04-01,W-08,Gujarat,Gandhar,exponential,52.08,47.33,,87409.0,0
2024-05-01,W-08,Gujarat,Gandhar,exponential,46.5,54.07,685.3,88803.0,0
2024-06-01,W-08,Gujarat,Gandhar,exponential,36.91,51.45,650.7,89911.0,0
2024-07-01,W-08,Gujarat,Gandhar,exponential,31.63,,622.2,90859.0,0
2024-08-01,W-08,Gujarat,Gandhar,exponential,26.97,53.38,608.9,91668.0,0
2024-09-01,W-08,Gujarat,Gandhar,exponential,24.3,55.94,595.8,92398.0,0
2024-10-01,W-08,Gujarat,Gandhar,exponential,22.38,60.08,563.7,93069.0,0
2024-11-01,W-08,Gujarat,Gandhar,exponential,20.62,64.83,499.3,93687.0,0
2024-12-01,W-08,Gujarat,Gandhar,exponential,17.73,64.55,487.1,94219.0,0
2023-01-01,W-09,Andhra,KG_Offshore,hyperbolic,331.79,13.64,1223.8,9954.0,0
2023-02-01,W-09,Andhra,KG_Offshore,hyperbolic,303.09,13.64,1204.4,19046.0,0
2023-03-01,W-09,Andhra,KG_Offshore,hyperbolic,258.65,15.65,1171.3,26806.0,0
2023-04-01,W-09,Andhra,KG_Offshore,hyperbolic,252.38,15.7,1086.8,34377.0,0
2023-05-01,W-09,Andhra,KG_Offshore,hyperbolic,256.75,19.77,1042.7,42080.0,0
2023-06-01,W-09,Andhra,KG_Offshore,hyperbolic,198.52,18.72,1030.1,48035.0,0
2023-07-01,W-09,Andhra,KG_Offshore,hyperbolic,206.74,,992.4,54237.0,0
2023-08-01,W-09,Andhra,KG_Offshore,hyperbolic,191.1,23.41,922.9,59970.0,0
2023-09-01,W-09,Andhra,KG_Offshore,hyperbolic,182.78,20.21,888.0,65454.0,0
2023-10-01,W-09,Andhra,KG_Offshore,hyperbolic,173.23,25.39,855.0,70651.0,0
2023-11-01,W-09,Andhra,KG_Offshore,hyperbolic,177.82,23.68,805.3,75985.0,0
2023-12-01,W-09,Andhra,KG_Offshore,hyperbolic,190.19,29.7,779.4,81691.0,0
2024-01-01,W-09,Andhra,KG_Offshore,hyperbolic,172.13,28.0,747.0,86855.0,0
2024-02-01,W-09,Andhra,KG_Offshore,hyperbolic,156.1,30.17,720.6,91538.0,0
2024-03-01,W-09,Andhra,KG_Offshore,hyperbolic,143.99,32.1,702.9,95857.0,0
2024-04-01,W-09,Andhra,KG_Offshore,hyperbolic,146.1,28.8,679.4,100240.0,0
2024-05-01,W-09,Andhra,KG_Offshore,hyperbolic,136.39,32.73,672.6,104332.0,0
2024-06-01,W-09,Andhra,KG_Offshore,hyperbolic,129.61,37.5,608.9,108220.0,0
2024-07-01,W-09,Andhra,KG_Offshore,hyperbolic,111.37,38.52,614.2,111561.0,0
2024-08-01,W-09,Andhra,KG_Offshore,hyperbolic,114.18,38.73,572.7,114987.0,0
2024-09-01,W-09,Andhra,KG_Offshore,hyperbolic,117.59,36.84,552.6,118514.0,0
2024-10-01,W-09,Andhra,KG_Offshore,hyperbolic,120.45,42.09,541.8,122128.0,0
2024-11-01,W-09,Andhra,KG_Offshore,hyperbolic,117.01,43.72,494.0,125638.0,0
2024-12-01,W-09,Andhra,KG_Offshore,hyperbolic,117.02,43.76,496.5,129149.0,0
2023-01-01,W-10,Andhra,KG_Offshore,exponential,323.74,12.48,1015.1,9712.0,0
2023-02-01,W-10,Andhra,KG_Offshore,exponential,279.62,14.02,998.4,18101.0,0
2023-03-01,W-10,Andhra,KG_Offshore,exponential,228.68,16.69,923.5,24961.0,0
2023-04-01,W-10,Andhra,KG_Offshore,exponential,205.65,17.08,895.0,31130.0,0
2023-05-01,W-10,Andhra,KG_Offshore,exponential,193.8,18.47,860.5,36944.0,0
2023-06-01,W-10,Andhra,KG_Offshore,exponential,165.59,20.5,846.8,41912.0,0
2023-07-01,W-10,Andhra,KG_Offshore,exponential,147.71,21.49,789.5,46343.0,0
2023-08-01,W-10,Andhra,KG_Offshore,exponential,127.96,23.61,764.1,50182.0,0
2023-09-01,W-10,Andhra,KG_Offshore,exponential,123.2,25.33,739.2,53878.0,0
2023-10-01,W-10,Andhra,KG_Offshore,exponential,114.18,27.79,704.3,57304.0,0
2023-11-01,W-10,Andhra,KG_Offshore,exponential,120.9,24.84,667.3,60931.0,0
2023-12-01,W-10,Andhra,KG_Offshore,exponential,105.29,28.51,650.4,64089.0,0
2024-01-01,W-10,Andhra,KG_Offshore,exponential,89.02,28.22,638.2,66760.0,0
2024-02-01,W-10,Andhra,KG_Offshore,exponential,79.12,28.71,582.3,69134.0,0
2024-03-01,W-10,Andhra,KG_Offshore,exponential,74.74,30.41,576.3,71376.0,0
2024-04-01,W-10,Andhra,KG_Offshore,exponential,67.71,34.19,541.3,73407.0,0
2024-05-01,W-10,Andhra,KG_Offshore,exponential,53.0,35.45,548.1,74997.0,0
2024-06-01,W-10,Andhra,KG_Offshore,exponential,45.31,36.83,486.5,76357.0,0
2024-07-01,W-10,Andhra,KG_Offshore,exponential,43.13,36.99,481.0,77651.0,0
2024-08-01,W-10,Andhra,KG_Offshore,exponential,39.16,38.87,475.9,78825.0,0
2024-09-01,W-10,Andhra,KG_Offshore,exponential,31.07,41.91,475.2,79758.0,0
2024-10-01,W-10,Andhra,KG_Offshore,exponential,34.47,38.71,433.1,80792.0,0
2024-11-01,W-10,Andhra,KG_Offshore,exponential,35.86,43.15,408.7,81868.0,0
2024-12-01,W-10,Andhra,KG_Offshore,exponential,29.29,44.69,428.9,82746.0,0
2023-01-01,W-11,Andhra,Ravva,hyperbolic,495.88,10.73,991.4,14876.0,0
2023-02-01,W-11,Andhra,Ravva,hyperbolic,453.98,15.41,962.8,28496.0,0
2023-03-01,W-11,Andhra,Ravva,hyperbolic,428.74,14.28,956.0,41358.0,0
2023-04-01,W-11,Andhra,Ravva,hyperbolic,631.45,16.19,902.2,60301.0,1
2023-05-01,W-11,Andhra,Ravva,hyperbolic,342.03,17.31,849.1,70562.0,0
2023-06-01,W-11,Andhra,Ravva,hyperbolic,277.04,17.7,832.6,78874.0,0
2023-07-01,W-11,Andhra,Ravva,hyperbolic,244.81,25.44,812.7,86218.0,0
2023-08-01,W-11,Andhra,Ravva,hyperbolic,253.58,20.91,774.5,93825.0,0
2023-09-01,W-11,Andhra,Ravva,hyperbolic,237.5,25.37,731.7,100950.0,0
2023-10-01,W-11,Andhra,Ravva,hyperbolic,218.24,22.55,692.5,107497.0,0
2023-11-01,W-11,Andhra,Ravva,hyperbolic,216.75,26.9,685.1,114000.0,0
2023-12-01,W-11,Andhra,Ravva,hyperbolic,201.0,28.52,654.1,120030.0,0
2024-01-01,W-11,Andhra,Ravva,hyperbolic,196.83,28.93,636.2,125935.0,0
2024-02-01,W-11,Andhra,Ravva,hyperbolic,166.59,29.26,607.9,130933.0,0
2024-03-01,W-11,Andhra,Ravva,hyperbolic,167.64,31.29,590.6,135962.0,0
2024-04-01,W-11,Andhra,Ravva,hyperbolic,157.57,32.42,544.3,140689.0,0
2024-05-01,W-11,Andhra,Ravva,hyperbolic,138.34,39.45,550.4,144839.0,0
2024-06-01,W-11,Andhra,Ravva,hyperbolic,120.84,36.01,512.8,148464.0,0
2024-07-01,W-11,Andhra,Ravva,hyperbolic,125.66,38.52,521.0,152234.0,0
2024-08-01,W-11,Andhra,Ravva,hyperbolic,112.21,42.45,460.3,155600.0,0
2024-09-01,W-11,Andhra,Ravva,hyperbolic,103.41,38.55,478.3,158703.0,0
2024-10-01,W-11,Andhra,Ravva,hyperbolic,103.95,41.79,437.5,161821.0,0
2024-11-01,W-11,Andhra,Ravva,hyperbolic,103.23,42.6,407.7,164918.0,0
2024-12-01,W-11,Andhra,Ravva,hyperbolic,102.6,44.38,393.8,167996.0,0
2023-01-01,W-12,Andhra,Ravva,hyperbolic,419.68,13.61,977.2,12590.0,0
2023-02-01,W-12,Andhra,Ravva,hyperbolic,377.52,11.48,929.2,23916.0,0
2023-03-01,W-12,Andhra,Ravva,hyperbolic,396.08,18.17,903.0,35798.0,0
2023-04-01,W-12,Andhra,Ravva,hyperbolic,329.06,16.51,855.9,45670.0,0
2023-05-01,W-12,Andhra,Ravva,hyperbolic,284.77,,824.6,54213.0,0
2023-06-01,W-12,Andhra,Ravva,hyperbolic,269.72,,761.2,62305.0,0
2023-07-01,W-12,Andhra,Ravva,hyperbolic,247.9,19.66,773.9,69742.0,0
2023-08-01,W-12,Andhra,Ravva,hyperbolic,229.85,26.34,735.5,76637.0,0
2023-09-01,W-12,Andhra,Ravva,hyperbolic,199.44,27.29,716.7,82620.0,0
2023-10-01,W-12,Andhra,Ravva,hyperbolic,208.23,32.25,630.7,88867.0,0
2023-11-01,W-12,Andhra,Ravva,hyperbolic,206.25,33.05,679.1,95055.0,0
2023-12-01,W-12,Andhra,Ravva,hyperbolic,219.73,30.95,620.3,101647.0,0
2024-01-01,W-12,Andhra,Ravva,hyperbolic,179.06,34.03,614.6,107018.0,0
2024-02-01,W-12,Andhra,Ravva,hyperbolic,168.86,38.72,558.9,112084.0,0
2024-03-01,W-12,Andhra,Ravva,hyperbolic,169.99,41.35,561.2,117184.0,0
2024-04-01,W-12,Andhra,Ravva,hyperbolic,147.36,44.08,514.5,121605.0,0
2024-05-01,W-12,Andhra,Ravva,hyperbolic,150.23,46.04,500.2,126111.0,0
2024-06-01,W-12,Andhra,Ravva,hyperbolic,126.94,45.4,518.3,129920.0,0
2024-07-01,W-12,Andhra,Ravva,hyperbolic,120.15,48.28,467.5,133524.0,0
2024-08-01,W-12,Andhra,Ravva,hyperbolic,113.53,52.13,455.2,136930.0,0
2024-09-01,W-12,Andhra,Ravva,hyperbolic,106.96,50.9,447.3,140139.0,0
2024-10-01,W-12,Andhra,Ravva,hyperbolic,118.34,54.25,424.6,143689.0,0
2024-11-01,W-12,Andhra,Ravva,hyperbolic,107.97,54.81,403.1,146928.0,0
2024-12-01,W-12,Andhra,Ravva,hyperbolic,109.29,56.34,390.6,150207.0,0
