date,well_id,basin,field,decline_type,oil_rate_bbl_day,water_cut_pct,wellhead_pressure_psi,cumulative_oil_bbl,anomaly_flag,year,month,quarter,production_month,oil_rate_bbl_month,wc_category
2024-11-01,W-01,Assam,Lakwa,hyperbolic,151.49,43.88,529.6,200492.0,0,2024,11,4,22,4545.0,Medium (25-50%)
2024-12-01,W-01,Assam,Lakwa,hyperbolic,147.83,47.08,514.1,204927.0,0,2024,12,4,23,4435.0,Medium (25-50%)
2023-01-01,W-02,Assam,Lakwa,hyperbolic,588.64,19.3,997.1,17659.0,0,2023,1,1,0,17659.0,Low (<25%)
2023-02-01,W-02,Assam,Lakwa,hyperbolic,499.23,17.16,943.0,32636.0,0,2023,2,1,1,14977.0,Low (<25%)
2023-03-01,W-02,Assam,Lakwa,hyperbolic,392.22,22.29,944.3,44402.0,0,2023,3,1,2,11767.0,Low (<25%)
2023-04-01,W-02,Assam,Lakwa,hyperbolic,416.68,21.0,887.5,56903.0,0,2023,4,2,3,12500.0,Low (<25%)
2023-05-01,W-02,Assam,Lakwa,hyperbolic,383.96,25.68,828.0,68422.0,0,2023,5,2,4,11519.0,Medium (25-50%)
2023-06-01,W-02,Assam,Lakwa,hyperbolic,322.3,25.73,822.6,78091.0,0,2023,6,2,5,9669.0,Medium (25-50%)
2023-07-01,W-02,Assam,Lakwa,hyperbolic,292.56,26.88,766.2,86868.0,0,2023,7,3,6,8777.0,Medium (25-50%)
2023-08-01,W-02,Assam,Lakwa,hyperbolic,309.26,27.5,762.1,96145.0,0,2023,8,3,7,9278.0,Medium (25-50%)
2023-09-01,W-02,Assam,Lakwa,hyperbolic,271.62,30.16,738.2,104294.0,0,2023,9,3,8,8149.0,Medium (25-50%)
2023-10-01,W-02,Assam,Lakwa,hyperbolic,271.62,33.6,680.3,111692.0,0,2023,10,4,9,8149.0,Medium (25-50%)
2023-11-01,W-02,Assam,Lakwa,hyperbolic,261.74,36.18,679.9,119544.0,0,2023,11,4,10,7852.0,Medium (25-50%)
2023-12-01,W-02,Assam,Lakwa,hyperbolic,242.21,36.76,645.5,126810.0,0,2023,12,4,11,7266.0,Medium (25-50%)
2024-01-01,W-02,Assam,Lakwa,hyperbolic,231.32,40.04,626.6,133750.0,0,2024,1,1,12,6940.0,Medium (25-50%)
2024-02-01,W-02,Assam,Lakwa,hyperbolic,201.44,44.0,618.6,139793.0,0,2024,2,1,13,6043.0,Medium (25-50%)
2024-03-01,W-02,Assam,Lakwa,hyperbolic,193.16,39.89,563.3,145588.0,0,2024,3,1,14,5795.0,Medium (25-50%)
2024-04-01,W-02,Assam,Lakwa,hyperbolic,180.59,41.73,533.5,151005.0,0,2024,4,2,15,5418.0,Medium (25-50%)
2024-05-01,W-02,Assam,Lakwa,hyperbolic,169.6,40.87,510.1,156093.0,0,2024,5,2,16,5088.0,Medium (25-50%)
2024-06-01,W-02,Assam,Lakwa,hyperbolic,157.88,47.75,490.7,160830.0,0,2024,6,2,17,4736.0,Medium (25-50%)
2024-07-01,W-02,Assam,Lakwa,hyperbolic,149.97,49.57,482.0,165329.0,0,2024,7,3,18,4499.0,Medium (25-50%)
2024-08-01,W-02,Assam,Lakwa,hyperbolic,143.48,46.85,469.4,169633.0,0,2024,8,3,19,4304.0,Medium (25-50%)
2024-09-01,W-02,Assam,Lakwa,hyperbolic,121.88,51.43,450.2,173290.0,0,2024,9,3,20,3656.0,High (50-75%)
2024-10-01,W-02,Assam,Lakwa,hyperbolic,134.55,54.24,441.0,177326.0,0,2024,10,4,21,4037.0,High (50-75%)
2024-11-01,W-02,Assam,Lakwa,hyperbolic,138.17,53.87,411.9,181471.0,0,2024,11,4,22,4145.0,High (50-75%)
2024-12-01,W-02,Assam,Lakwa,hyperbolic,127.37,56.72,417.4,185292.0,0,2024,12,4,23,3821.0,High (50-75%)
2023-01-01,W-03,Assam,Geleki,exponential,478.47,14.42,1094.6,14354.0,0,2023,1,1,0,14354.0,Low (<25%)
2023-02-01,W-03,Assam,Geleki,exponential,426.53,20.29,1032.3,27150.0,0,2023,2,1,1,12796.0,Low (<25%)
2023-03-01,W-03,Assam,Geleki,exponential,365.86,20.32,967.1,38126.0,0,2023,3,1,2,10976.0,Low (<25%)
2023-04-01,W-03,Assam,Geleki,exponential,316.91,22.88,961.1,47633.0,0,2023,4,2,3,9507.0,Low (<25%)
2023-05-01,W-03,Assam,Geleki,exponential,291.49,22.5,942.0,56378.0,0,2023,5,2,4,8745.0,Low (<25%)
2023-06-01,W-03,Assam,Geleki,exponential,244.97,25.19,890.0,63727.0,0,2023,6,2,5,7349.0,Medium (25-50%)
2023-07-01,W-03,Assam,Geleki,exponential,204.57,30.56,817.4,69864.0,0,2023,7,3,6,6137.0,Medium (25-50%)
2023-08-01,W-03,Assam,Geleki,exponential,182.43,29.26,800.0,75337.0,0,2023,8,3,7,5473.0,Medium (25-50%)
2023-09-01,W-03,Assam,Geleki,exponential,27.61,31.68,794.6,76165.0,1,2023,9,3,8,828.0,Medium (25-50%)
2023-10-01,W-03,Assam,Geleki,exponential,146.43,29.61,734.6,80558.0,0,2023,10,4,9,4393.0,Medium (25-50%)
2023-11-01,W-03,Assam,Geleki,exponential,142.94,38.5,722.6,84846.0,0,2023,11,4,10,4288.0,Medium (25-50%)
2023-12-01,W-03,Assam,Geleki,exponential,126.86,38.98,699.5,88652.0,0,2023,12,4,11,3806.0,Medium (25-50%)
2024-01-01,W-03,Assam,Geleki,exponential,110.64,39.6,647.0,91971.0,0,2024,1,1,12,3319.0,Medium (25-50%)
2024-02-01,W-03,Assam,Geleki,exponential,90.03,40.1,647.0,94672.0,0,2024,2,1,13,2701.0,Medium (25-50%)
2024-03-01,W-03,Assam,Geleki,exponential,75.71,40.04,561.5,96943.0,0,2024,3,1,14,2271.0,Medium (25-50%)
2024-04-01,W-03,Assam,Geleki,exponential,75.71,42.47,570.8,99080.0,0,2024,4,2,15,2271.0,Medium (25-50%)
2024-05-01,W-03,Assam,Geleki,exponential,61.81,45.26,559.4,100934.0,0,2024,5,2,16,1854.0,Medium (25-50%)
2024-06-01,W-03,Assam,Geleki,exponential,61.81,43.47,522.4,102443.0,0,2024,6,2,17,1854.0,Medium (25-50%)
2024-07-01,W-03,Assam,Geleki,exponential,45.23,45.42,544.4,103800.0,0,2024,7,3,18,1357.0,Medium (25-50%)
2024-08-01,W-03,Assam,Geleki,exponential,37.73,44.54,478.1,104932.0,0,2024,8,3,19,1132.0,Medium (25-50%)
2024-09-01,W-03,Assam,Geleki,exponential,33.56,47.91,473.3,105939.0,0,2024,9,3,20,1007.0,Medium (25-50%)
2024-10-01,W-03,Assam,Geleki,exponential,31.22,54.34,463.1,106875.0,0,2024,10,4,21,937.0,High (50-75%)
2024-11-01,W-03,Assam,Geleki,exponential,28.91,51.93,464.6,107742.0,0,2024,11,4,22,867.0,High (50-75%)
2024-12-01,W-03,Assam,Geleki,exponential,24.07,53.53,404.1,108465.0,0,2024,12,4,23,722.0,High (50-75%)
2023-01-01,W-04,Assam,Geleki,exponential,906.38,17.46,1465.6,27191.0,0,2023,1,1,0,27191.0,Low (<25%)
2023-02-01,W-04,Assam,Geleki,exponential,766.07,18.7,1415.3,50173.0,0,2023,2,1,1,22982.0,Low (<25%)
2023-03-01,W-04,Assam,Geleki,exponential,645.99,25.67,1367.6,69553.0,0,2023,3,1,2,19380.0,Medium (25-50%)
2023-04-01,W-04,Assam,Geleki,exponential,597.52,25.9,1331.6,87479.0,0,2023,4,2,3,17926.0,Medium (25-50%)
2023-05-01,W-04,Assam,Geleki,exponential,499.94,22.11,1271.0,102477.0,0,2023,5,2,4,14998.0,Low (<25%)
2023-06-01,W-04,Assam,Geleki,exponential,457.08,26.73,1206.4,116189.0,0,2023,6,2,5,13712.0,Medium (25-50%)
2023-07-01,W-04,Assam,Geleki,exponential,390.97,31.96,1161.1,127918.0,0,2023,7,3,6,11729.0,Medium (25-50%)
2023-08-01,W-04,Assam,Geleki,exponential,336.13,29.08,1100.8,138002.0,0,2023,8,3,7,10084.0,Medium (25-50%)
2023-09-01,W-04,Assam,Geleki,exponential,302.1,34.94,1071.8,147065.0,0,2023,9,3,8,9063.0,Medium (25-50%)
2023-10-01,W-04,Assam,Geleki,exponential,287.92,36.65,1025.7,155703.0,0,2023,10,4,9,8638.0,Medium (25-50%)
2023-11-01,W-04,Assam,Geleki,exponential,265.98,35.84,994.5,163682.0,0,2023,11,4,10,7979.0,Medium (25-50%)
2023-12-01,W-04,Assam,Geleki,exponential,236.98,39.15,938.4,170791.0,0,2023,12,4,11,7109.0,Medium (25-50%)
2024-01-01,W-04,Assam,Geleki,exponential,215.41,36.91,921.4,177254.0,0,2024,1,1,12,6462.0,Medium (25-50%)
2024-02-01,W-04,Assam,Geleki,exponential,186.02,46.56,900.7,182834.0,0,2024,2,1,13,5581.0,Medium (25-50%)
2024-03-01,W-04,Assam,Geleki,exponential,159.84,44.32,841.7,187630.0,0,2024,3,1,14,4795.0,Medium (25-50%)
2024-04-01,W-04,Assam,Geleki,exponential,139.1,48.47,816.3,191803.0,0,2024,4,2,15,4173.0,Medium (25-50%)
2024-05-01,W-04,Assam,Geleki,exponential,119.37,50.02,788.8,195384.0,0,2024,5,2,16,3581.0,High (50-75%)
2024-06-01,W-04,Assam,Geleki,exponential,98.12,53.43,742.0,198327.0,0,2024,6,2,17,2944.0,High (50-75%)
2024-07-01,W-04,Assam,Geleki,exponential,95.34,51.77,722.0,201187.0,0,2024,7,3,18,2860.0,High (50-75%)
2024-08-01,W-04,Assam,Geleki,exponential,79.79,54.97,690.7,203581.0,0,2024,8,3,19,2394.0,High (50-75%)
2024-09-01,W-04,Assam,Geleki,exponential,69.14,57.6,664.9,205655.0,0,2024,9,3,20,2074.0,High (50-75%)
2024-10-01,W-04,Assam,Geleki,exponential,72.28,60.16,625.8,207824.0,0,2024,10,4,21,2168.0,High (50-75%)
2024-11-01,W-04,Assam,Geleki,exponential,62.67,62.64,612.8,209704.0,0,2024,11,4,22,1880.0,High (50-75%)
2024-12-01,W-04,Assam,Geleki,exponential,57.27,61.3,595.8,211422.0,0,2024,12,4,23,1718.0,High (50-75%)
2023-01-01,W-05,Gujarat,Ankleshwar,hyperbolic,736.91,23.34,1271.8,22107.0,0,2023,1,1,0,22107.0,Low (<25%)
2023-02-01,W-05,Gujarat,Ankleshwar,hyperbolic,710.51,26.09,1245.6,43423.0,0,2023,2,1,1,21315.0,Medium (25-50%)
2023-03-01,W-05,Gujarat,Ankleshwar,hyperbolic,609.79,28.87,1203.4,61716.0,0,2023,3,1,2,18294.0,Medium (25-50%)
2023-04-01,W-05,Gujarat,Ankleshwar,hyperbolic,593.64,34.18,1150.1,79525.0,0,2023,4,2,3,17809.0,Medium (25-50%)
2023-05-01,W-05,Gujarat,Ankleshwar,hyperbolic,519.4,32.01,1074.5,95107.0,0,2023,5,2,4,15582.0,Medium (25-50%)
2023-06-01,W-05,Gujarat,Ankleshwar,hyperbolic,425.14,36.58,1060.8,107862.0,0,2023,6,2,5,12754.0,Medium (25-50%)
2023-07-01,W-05,Gujarat,Ankleshwar,hyperbolic,395.11,35.51,1001.0,119715.0,0,2023,7,3,6,11853.0,Medium (25-50%)
2023-08-01,W-05,Gujarat,Ankleshwar,hyperbolic,417.66,39.17,990.5,132245.0,0,2023,8,3,7,12530.0,Medium (25-50%)
2023-09-01,W-05,Gujarat,Ankleshwar,hyperbolic,396.87,40.61,947.6,144151.0,0,2023,9,3,8,11906.0,Medium (25-50%)
2023-10-01,W-05,Gujarat,Ankleshwar,hyperbolic,411.4,40.61,891.0,156493.0,0,2023,10,4,9,12342.0,Medium (25-50%)
2023-11-01,W-05,Gujarat,Ankleshwar,hyperbolic,393.17,39.9,861.9,168288.0,0,2023,11,4,10,11795.0,Medium (25-50%)
2023-12-01,W-05,Gujarat,Ankleshwar,hyperbolic,368.17,43.1,819.6,179333.0,0,2023,12,4,11,11045.0,Medium (25-50%)
2024-01-01,W-05,Gujarat,Ankleshwar,hyperbolic,359.71,48.31,801.8,190124.0,0,2024,1,1,12,10791.0,Medium (25-50%)
2024-02-01,W-05,Gujarat,Ankleshwar,hyperbolic,300.28,48.78,785.6,199133.0,0,2024,2,1,13,9008.0,Medium (25-50%)
2024-03-01,W-05,Gujarat,Ankleshwar,hyperbolic,313.26,47.86,726.3,208530.0,0,2024,3,1,14,9398.0,Medium (25-50%)
2024-04-01,W-05,Gujarat,Ankleshwar,hyperbolic,290.21,49.73,719.6,217237.0,0,2024,4,2,15,8706.0,Medium (25-50%)
2024-05-01,W-05,Gujarat,Ankleshwar,hyperbolic,272.06,48.65,676.1,225399.0,0,2024,5,2,16,8162.0,Medium (25-50%)
2024-06-01,W-05,Gujarat,Ankleshwar,hyperbolic,246.81,56.7,645.4,232803.0,0,2024,6,2,17,7404.0,High (50-75%)
2024-07-01,W-05,Gujarat,Ankleshwar,hyperbolic,251.34,57.27,629.9,240343.0,0,2024,7,3,18,7540.0,High (50-75%)
2024-08-01,W-05,Gujarat,Ankleshwar,hyperbolic,231.21,56.92,591.2,247280.0,0,2024,8,3,19,6936.0,High (50-75%)
2024-09-01,W-05,Gujarat,Ankleshwar,hyperbolic,214.75,59.29,574.6,253722.0,0,2024,9,3,20,6442.0,High (50-75%)
2024-10-01,W-05,Gujarat,Ankleshwar,hyperbolic,203.0,56.24,542.1,259812.0,0,2024,10,4,21,6090.0,High (50-75%)
2024-11-01,W-05,Gujarat,Ankleshwar,hyperbolic,216.44,61.31,567.6,266305.0,0,2024,11,4,22,6493.0,High (50-75%)
2024-12-01,W-05,Gujarat,Ankleshwar,hyperbolic,221.61,66.64,517.5,272954.0,0,2024,12,4,23,6648.0,High (50-75%)
2023-01-01,W-06,Gujarat,Ankleshwar,exponential,410.34,25.06,999.9,12310.0,0,2023,1,1,0,12310.0,Medium (25-50%)
2023-02-01,W-06,Gujarat,Ankleshwar,exponential,357.44,26.74,944.6,23034.0,0,2023,2,1,1,10723.0,Medium (25-50%)
2023-03-01,W-06,Gujarat,Ankleshwar,exponential,330.66,27.25,909.2,32953.0,0,2023,3,1,2,9920.0,Medium (25-50%)
2023-04-01,W-06,Gujarat,Ankleshwar,exponential,277.6,28.98,897.7,41281.0,0,2023,4,2,3,8328.0,Medium (25-50%)
2023-05-01,W-06,Gujarat,Ankleshwar,exponential,240.92,30.02,865.7,48509.0,0,2023,5,2,4,7228.0,Medium (25-50%)
2023-06-01,W-06,Gujarat,Ankleshwar,exponential,195.75,31.17,814.4,54381.0,0,2023,6,2,5,5872.0,Medium (25-50%)
2023-07-01,W-06,Gujarat,Ankleshwar,exponential,181.82,33.15,805.1,59836.0,0,2023,7,3,6,5455.0,Medium (25-50%)
2023-08-01,W-06,Gujarat,Ankleshwar,exponential,152.98,34.57,739.4,64425.0,0,2023,8,3,7,4589.0,Medium (25-50%)
2023-09-01,W-06,Gujarat,Ankleshwar,exponential,149.84,35.22,733.4,68920.0,0,2023,9,3,8,4495.0,Medium (25-50%)
2023-10-01,W-06,Gujarat,Ankleshwar,exponential,142.62,37.27,687.4,73199.0,0,2023,10,4,9,4279.0,Medium (25-50%)
2023-11-01,W-06,Gujarat,Ankleshwar,exponential,131.32,34.84,668.1,77139.0,0,2023,11,4,10,3940.0,Medium (25-50%)
2023-12-01,W-06,Gujarat,Ankleshwar,exponential,122.24,42.7,652.0,80806.0,0,2023,12,4,11,3667.0,Medium (25-50%)
2024-01-01,W-06,Gujarat,Ankleshwar,exponential,106.15,43.6,612.9,83990.0,0,2024,1,1,12,3184.0,Medium (25-50%)
2024-02-01,W-06,Gujarat,Ankleshwar,exponential,89.27,44.13,595.5,86668.0,0,2024,2,1,13,2678.0,Medium (25-50%)
2024-03-01,W-06,Gujarat,Ankleshwar,exponential,77.65,46.26,592.8,88998.0,0,2024,3,1,14,2330.0,Medium (25-50%)
2024-04-01,W-06,Gujarat,Ankleshwar,exponential,72.16,47.82,546.4,91163.0,0,2024,4,2,15,2165.0,Medium (25-50%)
2024-05-01,W-06,Gujarat,Ankleshwar,exponential,66.15,47.31,545.8,93147.0,0,2024,5,2,16,1985.0,Medium (25-50%)
2024-06-01,W-06,Gujarat,Ankleshwar,exponential,58.13,49.18,495.4,94891.0,0,2024,6,2,17,1744.0,Medium (25-50%)
2024-07-01,W-06,Gujarat,Ankleshwar,exponential,48.59,52.78,500.2,96349.0,0,2024,7,3,18,1458.0,High (50-75%)
2024-08-01,W-06,Gujarat,Ankleshwar,exponential,44.48,53.63,494.6,97684.0,0,2024,8,3,19,1334.0,High (50-75%)
2024-09-01,W-06,Gujarat,Ankleshwar,exponential,39.22,58.78,417.3,98860.0,0,2024,9,3,20,1177.0,High (50-75%)
2024-10-01,W-06,Gujarat,Ankleshwar,exponential,40.3,59.42,424.6,100069.0,0,2024,10,4,21,1209.0,High (50-75%)
2024-11-01,W-06,Gujarat,Ankleshwar,exponential,38.05,59.53,428.1,101211.0,0,2024,11,4,22,1142.0,High (50-75%)
2024-12-01,W-06,Gujarat,Ankleshwar,exponential,31.08,57.63,400.0,102143.0,0,2024,12,4,23,932.0,High (50-75%)
2023-01-01,W-07,Gujarat,Gandhar,hyperbolic,599.21,27.57,1085.2,17976.0,0,2023,1,1,0,17976.0,Medium (25-50%)
2023-02-01,W-07,Gujarat,Gandhar,hyperbolic,504.44,25.58,1035.8,33110.0,0,2023,2,1,1,15133.0,Medium (25-50%)
2023-03-01,W-07,Gujarat,Gandhar,hyperbolic,466.9,27.09,999.6,47117.0,0,2023,3,1,2,14007.0,Medium (25-50%)
2023-04-01,W-07,Gujarat,Gandhar,hyperbolic,468.11,28.32,929.8,61160.0,0,2023,4,2,3,14043.0,Medium (25-50%)
2023-05-01,W-07,Gujarat,Gandhar,hyperbolic,379.79,32.82,929.8,72554.0,0,2023,5,2,4,11394.0,Medium (25-50%)
2023-06-01,W-07,Gujarat,Gandhar,hyperbolic,74.59,34.32,863.5,74791.0,1,2023,6,2,5,2238.0,Medium (25-50%)
2023-07-01,W-07,Gujarat,Gandhar,hyperbolic,312.88,36.61,832.3,84178.0,0,2023,7,3,6,9386.0,Medium (25-50%)
2023-08-01,W-07,Gujarat,Gandhar,hyperbolic,302.77,37.33,815.3,93261.0,0,2023,8,3,7,9083.0,Medium (25-50%)
2023-09-01,W-07,Gujarat,Gandhar,hyperbolic,262.83,33.52,742.2,101145.0,0,2023,9,3,8,7885.0,Medium (25-50%)
2023-10-01,W-07,Gujarat,Gandhar,hyperbolic,286.63,38.82,760.4,109744.0,0,2023,10,4,9,8599.0,Medium (25-50%)
2023-11-01,W-07,Gujarat,Gandhar,hyperbolic,257.63,37.62,706.2,117473.0,0,2023,11,4,10,7729.0,Medium (25-50%)
2023-12-01,W-07,Gujarat,Gandhar,hyperbolic,224.26,40.18,674.4,124201.0,0,2023,12,4,11,6728.0,Medium (25-50%)
2024-01-01,W-07,Gujarat,Gandhar,hyperbolic,219.01,43.03,638.9,130771.0,0,2024,1,1,12,6570.0,Medium (25-50%)
2024-02-01,W-07,Gujarat,Gandhar,hyperbolic,210.49,45.83,603.6,137086.0,0,2024,2,1,13,6315.0,Medium (25-50%)
2024-03-01,W-07,Gujarat,Gandhar,hyperbolic,197.85,43.85,616.1,143021.0,0,2024,3,1,14,5936.0,Medium (25-50%)
2024-04-01,W-07,Gujarat,Gandhar,hyperbolic,182.31,42.46,581.2,148490.0,0,2024,4,2,15,5469.0,Medium (25-50%)
2024-05-01,W-07,Gujarat,Gandhar,hyperbolic,166.42,48.94,538.0,153483.0,0,2024,5,2,16,4993.0,Medium (25-50%)
2024-06-01,W-07,Gujarat,Gandhar,hyperbolic,148.3,55.34,516.1,157932.0,0,2024,6,2,17,4449.0,High (50-75%)
2024-07-01,W-07,Gujarat,Gandhar,hyperbolic,137.4,51.12,509.5,162054.0,0,2024,7,3,18,4122.0,High (50-75%)
2024-08-01,W-07,Gujarat,Gandhar,hyperbolic,136.88,53.09,509.5,166160.0,0,2024,8,3,19,4106.0,High (50-75%)
2024-09-01,W-07,Gujarat,Gandhar,hyperbolic,122.7,58.04,471.1,169841.0,0,2024,9,3,20,3681.0,High (50-75%)
2024-10-01,W-07,Gujarat,Gandhar,hyperbolic,125.91,57.13,433.8,173619.0,0,2024,10,4,21,3777.0,High (50-75%)
2024-11-01,W-07,Gujarat,Gandhar,hyperbolic,130.24,57.85,434.7,177526.0,0,2024,11,4,22,3907.0,High (50-75%)
2024-12-01,W-07,Gujarat,Gandhar,hyperbolic,121.0,59.78,417.1,181156.0,0,2024,12,4,23,3630.0,High (50-75%)
2023-01-01,W-08,Gujarat,Gandhar,exponential,465.31,24.3,1265.0,13959.0,0,2023,1,1,0,13959.0,Low (<25%)
2023-02-01,W-08,Gujarat,Gandhar,exponential,368.39,26.26,1219.8,25011.0,0,2023,2,1,1,11052.0,Medium (25-50%)
2023-03-01,W-08,Gujarat,Gandhar,exponential,313.34,30.07,1177.4,34411.0,0,2023,3,1,2,9400.0,Medium (25-50%)
2023-04-01,W-08,Gujarat,Gandhar,exponential,296.19,28.29,1101.1,43296.0,0,2023,4,2,3,8886.0,Medium (25-50%)
2023-05-01,W-08,Gujarat,Gandhar,exponential,232.59,32.36,1062.4,50274.0,0,2023,5,2,4,6978.0,Medium (25-50%)
2023-06-01,W-08,Gujarat,Gandhar,exponential,201.41,34.12,1051.3,56316.0,0,2023,6,2,5,6042.0,Medium (25-50%)
2023-07-01,W-08,Gujarat,Gandhar,exponential,165.78,38.63,1001.9,61290.0,0,2023,7,3,6,4973.0,Medium (25-50%)
2023-08-01,W-08,Gujarat,Gandhar,exponential,151.86,35.04,957.4,65846.0,0,2023,8,3,7,4556.0,Medium (25-50%)
2023-09-01,W-08,Gujarat,Gandhar,exponential,125.99,37.46,922.8,69625.0,0,2023,9,3,8,3780.0,Medium (25-50%)
2023-10-01,W-08,Gujarat,Gandhar,exponential,120.46,38.63,891.6,73239.0,0,2023,10,4,9,3614.0,Medium (25-50%)
2023-11-01,W-08,Gujarat,Gandhar,exponential,120.27,38.88,843.5,76847.0,0,2023,11,4,10,3608.0,Medium (25-50%)
2023-12-01,W-08,Gujarat,Gandhar,exponential,91.11,47.47,806.5,79581.0,0,2023,12,4,11,2733.0,Medium (25-50%)
2024-01-01,W-08,Gujarat,Gandhar,exponential,89.48,43.18,789.1,82265.0,0,2024,1,1,12,2684.0,Medium (25-50%)
2024-02-01,W-08,Gujarat,Gandhar,exponential,62.01,45.76,740.6,84125.0,0,2024,2,1,13,1860.0,Medium (25-50%)
2024-03-01,W-08,Gujarat,Gandhar,exponential,57.36,51.74,731.8,85846.0,0,2024,3,1,14,1721.0,High (50-75%)
2024-04-01,W-08,Gujarat,Gandhar,exponential,52.08,47.33,731.8,87409.0,0,2024,4,2,15,1562.0,Medium (25-50%)
2024-05-01,W-08,Gujarat,Gandhar,exponential,46.5,54.07,685.3,88803.0,0,2024,5,2,16,1395.0,High (50-75%)
2024-06-01,W-08,Gujarat,Gandhar,exponential,36.91,51.45,650.7,89911.0,0,2024,6,2,17,1107.0,High (50-75%)
2024-07-01,W-08,Gujarat,Gandhar,exponential,31.63,51.45,622.2,90859.0,0,2024,7,3,18,949.0,High (50-75%)
2024-08-01,W-08,Gujarat,Gandhar,exponential,26.97,53.38,608.9,91668.0,0,2024,8,3,19,809.0,High (50-75%)
2024-09-01,W-08,Gujarat,Gandhar,exponential,24.3,55.94,595.8,92398.0,0,2024,9,3,20,729.0,High (50-75%)
2024-10-01,W-08,Gujarat,Gandhar,exponential,22.38,60.08,563.7,93069.0,0,2024,10,4,21,671.0,High (50-75%)
2024-11-01,W-08,Gujarat,Gandhar,exponential,20.62,64.83,499.3,93687.0,0,2024,11,4,22,619.0,High (50-75%)
2024-12-01,W-08,Gujarat,Gandhar,exponential,17.73,64.55,487.1,94219.0,0,2024,12,4,23,532.0,High (50-75%)
2023-01-01,W-09,Andhra,KG_Offshore,hyperbolic,331.79,13.64,1223.8,9954.0,0,2023,1,1,0,9954.0,Low (<25%)
2023-02-01,W-09,Andhra,KG_Offshore,hyperbolic,303.09,13.64,1204.4,19046.0,0,2023,2,1,1,9093.0,Low (<25%)
2023-03-01,W-09,Andhra,KG_Offshore,hyperbolic,258.65,15.65,1171.3,26806.0,0,2023,3,1,2,7759.0,Low (<25%)
2023-04-01,W-09,Andhra,KG_Offshore,hyperbolic,252.38,15.7,1086.8,34377.0,0,2023,4,2,3,7571.0,Low (<25%)
